Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ceremonial Oath;Suède;1989;false;Mölndal;1;0;0;0;0;0;0;0;Altar;0;0;0;0
Channel Zero;Belgique;1990;false;Brussels;1;0;0;0;0;0;0;Main 02;0;0;0;0;0
Chelsea Wolfe;Etats-Unis;2007;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Valley
Chelsea Wolfe;Etats-Unis;30634;false;Sacramento;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Chiens;France;2009;false;NA;1;0;0;0;0;0;0;0;0;0;Metal Corner;0;0
Children of Bodom;Finlande;1997;false;Espoo;3;0;Main;0;0;0;0;Altar;0;0;Altar;0;0
Chimaira;Etats-Unis;1998;true;Cleveland;1;0;Main;0;0;0;0;0;0;0;0;0;0
Chronicles;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Metal Corner;0
Church of Misery;Japon;1995;false;Shinjuku;1;0;0;0;0;0;Terrorizer tent;0;0;0;0;0;0
Clutch;Etats-Unis;NA;NA;NA;4;0;0;0;Main 02;0;Terrorizer tent;0;0;Valley;0;0;Valley
Coal Chamber;Etats-Unis;1993;false;Los Angeles;1;0;0;0;0;0;0;0;Main 02;0;0;0;0
Coalesce;Etats-Unis;1994;true;Kansas City;1;0;0;0;Terrorizer tent;0;0;0;0;0;0;0;0
Cobra;Japon;2005;false;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Cock and Ball Torture;Allemagne;1997;false;NA;1;0;0;0;0;0;0;0;0;0;Altar;0;0
Cock Sparrer;Angleterre;1974;false;London;1;0;0;0;0;0;0;0;0;0;Warzone;0;0
Cockney Rejects;Angleterre;1979;false;London;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Code Orange;Etats-Unis;2009;false;Pittsburgh;1;0;0;0;0;0;0;0;0;0;Warzone;0;0
Coffins;Japon;1996;false;NA;1;0;0;0;0;0;0;0;0;0;Altar;0;0
Coldworker;Suède;2006;false;NA;1;0;Discover stage;0;0;0;0;0;0;0;0;0;0
Colossus;France;2008;false;Stockholm;1;0;0;0;0;0;0;0;0;Metal Corner;0;0;0
Colour Haze;Allemagne;1994;false;Munich;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Comeback Kid;Canada;2000;false;Winnipeg;4;0;0;Discover stage;0;0;Terrorizer tent;0;0;Warzone;0;0;Warzone
Conan;Angleterre;NA;false;NA;1;0;0;0;0;0;0;0;0;Valley;0;0;0
Condkoï;France;NA;false;NA;1;0;0;0;0;Rock Hard tent;0;0;0;0;0;0;0
Converge;Etats-Unis;NA;NA;NA;4;0;Gibson stage;0;0;0;Terrorizer tent;0;Warzone;0;0;Warzone;0
Coroner;Suisse;1983;false;Zurich;2;0;0;0;0;0;Main 02;0;0;0;0;0;Altar
Corrosion of Conformity;Etats-Unis;1982;false;Raleigh;1;0;0;0;0;0;Terrorizer tent;0;0;0;0;0;0
Corrosive Elements;France;2005;false;Paris;1;0;0;0;0;0;0;0;0;0;0;Altar;0
Cortez;Suisse;NA;false;NA;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Corvus Corax;Allemagne;1989-12;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Temple
Coupe Gorge;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Metal Corner
Cover Kill;Suisse;NA;NA;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
Cowards;France;2012;false;NA;1;0;0;0;0;0;0;0;0;0;0;Warzone;0
Cradle of Filth;Angleterre;1991;false;Ipswich;4;Main;0;0;Main 01;0;Rock Hard tent;0;Temple;0;Temple;0;0
Craft;Suède;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Temple;0;0
Cranks;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Metal Corner
Crashdïet;Suède;2000;false;NA;1;0;0;0;0;0;0;Main 01;0;0;0;0;0
Crimson Daze;France;NA;NA;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
Crippled Black Phoenix;Angleterre;2004;false;Bristol;1;0;0;0;0;0;0;0;0;0;0;0;Valley
Crobot;Etats-Unis;2011;false;Pottsville;1;0;0;0;0;0;0;0;0;0;0;Valley;0
Cro-Mags;Etats-Unis;1982;false;New York;1;0;0;0;Terrorizer tent;0;0;0;0;0;0;0;0
Crossfaith;Japon;2006;false;Osaka;1;0;0;0;0;0;0;0;0;Main 01;0;0;0
Crowbar;Etats-Unis;NA;NA;NA;2;0;0;0;0;Main 02;0;0;0;Main 01;0;0;0
Cruachan;Irlande;1992;false;Dublin;1;0;0;0;0;0;0;0;0;0;0;Temple;0
Crucified Barbara;Suède;1998;true;Stockholm;1;0;0;0;0;0;Main 01;0;0;0;0;0;0
Crusher;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;Altar;0;0
Crushing Caspars;Allemagne;NA;false;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Crypt Sermon;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Cryptopsy;Canada;1992;false;Montreal;2;0;0;0;0;0;0;0;Altar;0;0;0;Altar
Cult of Luna;Suède;1998;false;Umeå;2;0;0;Discover stage;0;0;0;0;Valley;0;0;0;0
Cynic;Etats-Unis;NA;false;NA;1;0;Gibson stage;0;0;0;0;0;0;0;0;0;0
D.R.I.;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Warzone
D.Usk;NA;NA;NA;NA;1;0;0;0;0;0;0;Valley;0;0;0;0;0
D-A-D;Danemark;NA;false;NA;1;0;0;0;0;0;0;Main 01;0;0;0;0;0
Dagoba;France;1997;false;Marseille;3;Hard n'Heavy stage;0;0;Main 01;0;Main 02;0;0;Main 02;0;0;0
